,Noise Param,Error Qx
0,9.999999999999999e-05,0.0005996701099751922
1,0.00010974987654930556,0.0006581019185052939
2,0.00012045035402587825,0.0007222235428342993
3,0.00013219411484660285,0.0007925882587460076
4,0.000145082877849594,0.0008698029845446431
5,0.00015922827933410923,0.000954533449634587
6,0.00017475284000076832,0.0010475098544929784
7,0.00019179102616724886,0.0011495330673724768
8,0.00021049041445120195,0.0012614814070042168
9,0.00023101297000831602,0.0013843180647301057
10,0.00025353644939701115,0.0015190992239567103
11,0.0002782559402207126,0.0016669829395663527
12,0.0003053855508833415,0.0018292388449431263
13,0.00033516026509388406,0.002007258759562147
14,0.0003678379771828634,0.002202568275638639
15,0.0004037017258596554,0.00241683940809978
16,0.0004430621457583882,0.0026519043981135804
17,0.00048626015800653534,0.002909770766478137
18,0.0005336699231206312,0.0031926377193216005
19,0.0005857020818056667,0.003502914014653191
20,0.0006428073117284319,0.0038432374042020045
21,0.0007054802310718646,0.004216495770539452
22,0.000774263682681127,0.00462585008446631
23,0.0008497534359086447,0.0050747593117997924
24,0.0009326033468832199,0.005567007401658386
25,0.0010235310218990267,0.006106732489759736
26,0.0011233240329780276,0.006698458449502065
27,0.0012328467394420659,0.007347128920200285
28,0.0013530477745798074,0.008058143934899453
29,0.001484968262254465,0.00883739925887822
30,0.0016297508346206433,0.009691328533108667
31,0.001788649529057435,0.010626948293235183
32,0.0019630406500402726,0.011651905902530235
33,0.0021544346900318847,0.012774530394790595
34,0.002364489412645407,0.014003886168153012
35,0.002595024211399737,0.015349829400569615
36,0.002848035868435802,0.016823066969234468
37,0.003125715849688235,0.018435217545928806
38,0.003430469286314919,0.020198874404014355
39,0.0037649358067924714,0.02212766930587451
40,0.0041320124001153384,0.024236336636697053
41,0.004534878508128582,0.026540776705560987
42,0.004977023564332114,0.02905811684127918
43,0.0054622772176843425,0.03180676856113601
44,0.005994842503189409,0.03480647867787884
45,0.006579332246575682,0.03807837172624673
46,0.007220809018385471,0.04164498052711496
47,0.007924828983539177,0.04553026105780511
48,0.008697490026177835,0.049759587055360655
49,0.009545484566618348,0.05435971894201469
50,0.010476157527896652,0.059358740728728654
51,0.011497569953977368,0.06478595752905081
52,0.01261856883066021,0.07067174521498676
53,0.01384886371393873,0.07704734259320523
54,0.015199110829529348,0.08394457531262789
55,0.01668100537200059,0.09139549959129228
56,0.018307382802953697,0.09943195285460377
57,0.020092330025650477,0.10808499762317275
58,0.022051307399030454,0.11738424463002628
59,0.02420128264794383,0.12735704138423953
60,0.026560877829466867,0.13802751348576803
61,0.02915053062825179,0.1494154482500703
62,0.03199267137797385,0.1615350140014195
63,0.03511191734215135,0.17439331418401427
64,0.03853528593710531,0.18798878371615652
65,0.04229242874389499,0.20230944629984204
66,0.04641588833612782,0.21733106620629405
67,0.0509413801481638,0.23301524681227082
68,0.055908101825122285,0.24930755109602482
69,0.06135907273413176,0.2661357463072953
70,0.06734150657750827,0.28340830545122564
71,0.07390722033525782,0.30101333062199476
72,0.08111308307896872,0.3188180950409732
73,0.08902150854450393,0.33666942793136534
74,0.09770099572992255,0.35439518342643495
75,0.10722672220103242,0.3718070340217199
76,0.1176811952434999,0.38870480133388785
77,0.1291549665014884,0.4048824716052582
78,0.14174741629268062,0.42013593005169464
79,0.15556761439304723,0.43427227869021606
80,0.1707352647470692,0.4471203744099125
81,0.1873817422860385,0.45854194598513404
82,0.20565123083486536,0.4684423447326893
83,0.22570197196339215,0.47677969911771145
84,0.24770763559917114,0.4835710483864619
85,0.2718588242732943,0.48889401473777805
86,0.298364724028334,0.4928828356544705
87,0.3274549162877732,0.4957181955161767
88,0.359381366380463,0.49761128241937563
89,0.394420605943766,0.4987837493837867
90,0.4328761281083061,0.4994465159055847
91,0.4750810162102798,0.4997811848654784
92,0.521400828799969,0.4999277840197376
93,0.5722367659350219,0.4999812322824442
94,0.6280291441834259,0.4999964918595558
95,0.6892612104349701,0.4999995947568892
96,0.7564633275546291,0.49999997823581455
97,0.8302175681319752,0.4999999997131314
98,0.9111627561154896,0.4999999999998792
99,1.0,0.5
